Designator,Mid X,Mid Y,Rotation,Layer
C1,5.832974,17.044,90.0,top
C10,9.645618,15.640618,135.0,top
C11,13.341382,12.211618,45.0,top
C12,13.97,11.583,45.0,top
C13,14.478,10.059,315.0,top
C2,7.239,17.044,90.0,top
C3,3.683,15.012,90.0,top
C4,4.699,15.901,90.0,top
C5,8.89,29.49,90.0,top
C6,5.067236,6.795036,315.0,top
C7,4.438618,6.166418,315.0,top
C8,3.81,5.5378,315.0,top
C9,9.017,15.012,135.0,top
D1,8.89,20.854,180.0,top
R1,7.874,29.49,270.0,top
R2,9.906,29.49,270.0,top
R3,5.207,29.49,270.0,top
R4,6.604,20.854,90.0,top
SW1,8.89,24.918,0.0,top
U1,8.89,9.551,135.0,top
Y1,5.8928,13.9706,45.0,top
